generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
35993.0,12882.0,8369.0,571.0,0.0,475.0,2.0,475.0,2.0,475.0,1.5,true
7054.0,2576.0,331.0,567.0,0.0,475.0,2.0,475.0,2.0,475.0,1.5,true
2126.0,896.0,132.0,499.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
10950.0,4013.0,3446.0,447.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
5764.0,2056.0,1712.0,427.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
8975.0,3253.0,3161.0,411.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
1359.0,501.0,382.0,403.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
4139.0,1490.0,1421.0,399.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
854.0,325.0,246.0,395.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
4253.0,1526.0,1467.0,393.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
779.0,299.0,223.0,391.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
288.0,105.0,52.0,389.0,0.0,389.0,2.0,389.0,2.0,389.0,1.5,true
39880.0,14625.0,10258.0,784.0,0.0,402.0,2.0,402.0,2.0,402.0,1.5,true
69718.0,24706.0,18133.0,688.0,0.0,402.0,2.0,402.0,2.0,402.0,1.5,true
10732.0,3799.0,1846.0,660.0,0.0,402.0,2.0,402.0,2.0,402.0,1.5,true
2705.0,987.0,324.0,654.0,0.0,402.0,2.0,402.0,2.0,402.0,1.5,true
14230.0,5342.0,3238.0,752.0,0.0,522.0,2.0,522.0,2.0,522.0,1.5,true
170637.0,60792.0,55968.0,648.0,0.0,522.0,2.0,522.0,2.0,522.0,1.5,true
64295.0,22956.0,20133.0,630.0,0.0,522.0,2.0,522.0,2.0,522.0,1.5,true
330.0,116.0,74.0,624.0,0.0,522.0,2.0,522.0,2.0,522.0,1.5,true
2159.0,809.0,336.0,618.0,0.0,522.0,2.0,522.0,2.0,522.0,1.5,true
141.0,50.0,28.0,616.0,0.0,522.0,2.0,522.0,2.0,522.0,1.5,true
2346.0,849.0,279.0,614.0,0.0,522.0,2.0,522.0,2.0,522.0,1.5,true
7196.0,2690.0,1410.0,612.0,0.0,478.0,2.0,478.0,2.0,478.0,1.5,true
21383.0,7592.0,6199.0,512.0,0.0,478.0,2.0,478.0,2.0,478.0,1.5,true
6188.0,2185.0,735.0,508.0,0.0,478.0,2.0,478.0,2.0,478.0,1.5,true
7986.0,2901.0,2498.0,500.0,0.0,478.0,2.0,478.0,2.0,478.0,1.5,true
760.0,263.0,230.0,498.0,0.0,478.0,2.0,478.0,2.0,478.0,1.5,true
21068.0,7501.0,4879.0,496.0,0.0,478.0,2.0,478.0,2.0,478.0,1.5,true
1343891.0,479185.0,455471.0,1072.0,0.0,420.0,2.0,420.0,2.0,420.0,1.5,true
49443.0,17785.0,13167.0,1010.0,0.0,420.0,2.0,420.0,2.0,420.0,1.5,true
5150.0,1838.0,1338.0,986.0,0.0,420.0,2.0,420.0,2.0,420.0,1.5,true
