domain,instance,index,generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,oprimal_cost,w,is-W-opt
VacuumRobot,14,4,15052.0,8757.0,2467.0,826.0,826.0,515.0,47.0,515.0,63.0,505.0,778.0,0.5,false
VacuumRobot,14,5,3219.0,1971.0,1517.0,820.0,820.0,62.0,711.0,65.0,712.0,64.0,778.0,0.5,false
VacuumRobot,14,6,10423.0,6124.0,5621.0,808.0,808.0,105.0,635.0,115.0,666.0,96.0,778.0,0.5,false
VacuumRobot,14,7,2891.0,1764.0,1738.0,802.0,802.0,20.0,636.0,102.0,631.0,105.0,778.0,0.5,false
VacuumRobot,14,8,1871.0,1103.0,937.0,794.0,794.0,105.0,617.0,115.0,648.0,96.0,778.0,0.5,false
VacuumRobot,14,9,8622.0,5048.0,4310.0,790.0,790.0,109.0,635.0,97.0,619.0,107.0,778.0,0.5,false
VacuumRobot,14,10,3092.0,1764.0,576.0,778.0,778.0,117.0,608.0,116.0,590.0,128.0,778.0,0.5,false
VacuumRobot,15,1,2019.0,1162.0,33.0,663.0,663.0,433.0,1.0,432.0,2.0,431.0,553.0,0.5,false
VacuumRobot,15,2,5496.0,3196.0,2034.0,597.0,597.0,342.0,122.0,343.0,121.0,344.0,553.0,0.5,false
VacuumRobot,15,3,19047.0,11140.0,8329.0,561.0,561.0,398.0,33.0,404.0,40.0,399.0,553.0,0.5,false
VacuumRobot,15,4,32868.0,19139.0,2333.0,559.0,559.0,437.0,8.0,439.0,7.0,440.0,553.0,0.5,false
VacuumRobot,15,5,9106.0,5340.0,670.0,553.0,553.0,451.0,67.0,450.0,66.0,451.0,553.0,0.5,false
VacuumRobot,16,1,5592.0,3323.0,599.0,991.0,991.0,576.0,1.0,575.0,2.0,574.0,796.0,0.5,false
VacuumRobot,16,2,1854.0,1105.0,853.0,935.0,935.0,60.0,821.0,62.0,822.0,61.0,796.0,0.5,false
VacuumRobot,16,3,237.0,139.0,112.0,923.0,923.0,26.0,880.0,25.0,881.0,24.0,796.0,0.5,false
VacuumRobot,16,4,419.0,250.0,234.0,913.0,913.0,46.0,854.0,41.0,855.0,40.0,796.0,0.5,false
VacuumRobot,16,5,19940.0,11513.0,6839.0,863.0,863.0,507.0,82.0,506.0,80.0,508.0,796.0,0.5,false
VacuumRobot,16,6,227.0,134.0,125.0,851.0,851.0,26.0,808.0,25.0,809.0,24.0,796.0,0.5,false
VacuumRobot,16,7,420.0,251.0,241.0,841.0,841.0,46.0,787.0,38.0,782.0,41.0,796.0,0.5,false
VacuumRobot,16,8,17146.0,10179.0,4756.0,817.0,817.0,32.0,791.0,34.0,791.0,34.0,796.0,0.5,false
VacuumRobot,16,9,14967.0,8915.0,2059.0,802.0,802.0,27.0,777.0,26.0,778.0,25.0,796.0,0.5,false
VacuumRobot,16,10,47358.0,27834.0,17663.0,796.0,796.0,169.0,559.0,169.0,552.0,174.0,796.0,0.5,false
VacuumRobot,17,1,7302.0,4313.0,1541.0,732.0,732.0,309.0,1.0,308.0,2.0,307.0,500.0,0.5,false
