hRange, Ratio, Pr(Ratio)<=
31.0,1.1111111111111112,0.11249999999999999
31.0,1.1176470588235294,0.13749999999999998
31.0,1.125,0.16749999999999998
31.0,1.1333333333333333,0.19249999999999998
31.0,1.1428571428571428,0.22249999999999998
31.0,1.1538461538461537,0.25249999999999995
31.0,1.1666666666666667,0.27749999999999997
31.0,1.1818181818181819,0.3075
31.0,1.2222222222222223,0.3175
31.0,1.2352941176470589,0.325
31.0,1.25,0.335
31.0,1.2666666666666666,0.35000000000000003
31.0,1.2857142857142858,0.36250000000000004
31.0,1.3076923076923077,0.37750000000000006
31.0,1.3333333333333333,0.4000000000000001
31.0,1.3529411764705883,0.4125000000000001
31.0,1.3636363636363635,0.4250000000000001
31.0,1.375,0.4350000000000001
31.0,1.4,0.4475000000000001
31.0,1.4285714285714286,0.46000000000000013
31.0,1.4444444444444444,0.46750000000000014
31.0,1.4615384615384615,0.47750000000000015
31.0,1.4705882352941178,0.48250000000000015
31.0,1.5,0.5050000000000001
31.0,1.5333333333333334,0.5125000000000001
31.0,1.5454545454545454,0.5225000000000001
31.0,1.5555555555555556,0.535
31.0,1.5714285714285714,0.5375
31.0,1.588235294117647,0.5449999999999999
31.0,1.6153846153846154,0.5549999999999999
31.0,1.625,0.5624999999999999
31.0,1.6666666666666667,0.5824999999999999
31.0,1.7058823529411764,0.5899999999999999
31.0,1.7142857142857142,0.5974999999999998
31.0,1.7272727272727273,0.5999999999999998
31.0,1.7692307692307692,0.6049999999999998
31.0,1.7777777777777777,0.6174999999999997
31.0,1.8,0.6224999999999997
31.0,1.8235294117647058,0.6324999999999997
31.0,1.8333333333333333,0.6374999999999997
31.0,1.8571428571428572,0.6424999999999997
31.0,1.875,0.6599999999999997
31.0,1.8888888888888888,0.6624999999999996
31.0,1.9090909090909092,0.6699999999999996
31.0,1.9230769230769231,0.6774999999999995
31.0,1.9333333333333333,0.6874999999999996
31.0,1.9411764705882353,0.6949999999999995
31.0,2.0,0.7199999999999995
31.0,2.0588235294117645,0.7249999999999995
31.0,2.066666666666667,0.7299999999999995
31.0,2.076923076923077,0.7349999999999995
31.0,2.090909090909091,0.7399999999999995
31.0,2.111111111111111,0.7449999999999996
31.0,2.125,0.7549999999999996
31.0,2.142857142857143,0.7574999999999995
