InstanceID,h,opt
8,66.0,170.0,
8,67.0,172.0,
8,68.0,178.0,
8,69.0,179.0,
8,70.0,190.0,
8,71.0,180.0,
8,72.0,182.0,
8,73.0,188.0,
8,74.0,190.0,
8,75.0,190.0,
9,1.0,1.0,
9,2.0,10.0,
9,3.0,10.0,
9,4.0,8.0,
9,5.0,9.0,
9,6.0,15.0,
9,7.0,60.0,
9,8.0,28.0,
9,9.0,58.0,
9,10.0,59.0,
9,11.0,58.0,
9,12.0,55.0,
9,13.0,54.0,
9,14.0,74.0,
9,15.0,132.0,
9,16.0,65.0,
9,17.0,-1.0,
9,18.0,63.0,
9,19.0,64.0,
9,20.0,63.0,
9,21.0,46.0,
9,22.0,43.0,
9,23.0,44.0,
9,24.0,72.0,
9,25.0,56.0,
9,26.0,53.0,
9,27.0,53.0,
9,28.0,54.0,
9,29.0,55.0,
9,30.0,78.0,
9,33.0,62.0,
9,34.0,54.0,
9,35.0,160.0,
9,36.0,57.0,
9,37.0,-1.0,
9,38.0,-1.0,
9,39.0,85.0,
9,44.0,95.0,
10,1.0,1.0,
10,2.0,10.0,
10,4.0,8.0,
10,5.0,9.0,
10,6.0,10.0,
10,7.0,12.0,
10,8.0,13.0,
10,9.0,23.0,
10,10.0,17.0,
10,11.0,17.0,
10,12.0,53.0,
10,13.0,23.0,
10,14.0,54.0,
10,15.0,57.0,
10,16.0,56.0,
10,17.0,58.0,
10,18.0,59.0,
10,19.0,60.0,
10,20.0,67.0,
10,21.0,63.0,
10,22.0,68.0,
10,23.0,69.0,
10,24.0,66.0,
10,25.0,32.0,
10,26.0,73.0,
10,27.0,74.0,
10,28.0,69.0,
10,29.0,74.0,
10,30.0,82.0,
10,31.0,80.0,
10,32.0,85.0,
10,33.0,59.0,
10,34.0,80.0,
10,35.0,75.0,
10,36.0,81.0,
10,37.0,89.0,
10,38.0,84.0,
10,39.0,102.0,
10,40.0,103.0,
10,41.0,95.0,
10,43.0,94.0,
10,46.0,108.0,
11,1.0,1.0,
11,2.0,10.0,
11,4.0,11.0,
11,5.0,13.0,
11,6.0,9.0,
11,7.0,13.0,
11,8.0,11.0,
11,9.0,24.0,
11,10.0,23.0,
11,11.0,14.0,
11,12.0,23.0,
11,13.0,24.0,
11,14.0,20.0,
11,15.0,28.0,
11,16.0,25.0,
11,17.0,27.0,
11,18.0,26.0,
11,19.0,26.0,
11,20.0,38.0,
11,22.0,37.0,
11,23.0,36.0,
11,24.0,38.0,
11,25.0,38.0,
11,26.0,40.0,
11,27.0,32.0,
11,28.0,36.0,
11,29.0,37.0,
11,30.0,37.0,
11,32.0,47.0,
11,33.0,46.0,
11,34.0,48.0,
11,35.0,48.0,
11,37.0,49.0,
11,38.0,50.0,
11,39.0,51.0,
11,43.0,61.0,
11,45.0,63.0,
11,46.0,64.0,
12,1.0,1.0,
12,2.0,4.0,
12,4.0,5.0,
12,5.0,17.0,
12,7.0,64.0,
12,8.0,15.0,
12,9.0,64.0,
12,10.0,61.0,
12,11.0,68.0,
12,12.0,61.0,
12,13.0,71.0,
12,14.0,77.0,
12,15.0,71.0,
12,16.0,62.0,
12,17.0,70.0,
12,18.0,69.0,
12,19.0,69.0,
12,20.0,71.0,
12,21.0,72.0,
12,22.0,32.0,
12,23.0,35.0,
12,24.0,77.0,
12,25.0,60.0,
12,26.0,82.0,
12,27.0,42.0,
12,28.0,58.0,
12,30.0,97.0,
12,31.0,82.0,
12,32.0,78.0,
12,33.0,89.0,
12,34.0,86.0,
12,35.0,87.0,
12,36.0,65.0,
12,37.0,88.0,
13,1.0,1.0,
13,2.0,9.0,
13,3.0,15.0,
13,4.0,9.0,
13,5.0,17.0,
13,6.0,17.0,
13,7.0,127.0,
13,8.0,28.0,
13,9.0,128.0,
13,10.0,129.0,
13,11.0,67.0,
13,12.0,65.0,
13,13.0,64.0,
13,14.0,102.0,
13,15.0,-1.0,
13,16.0,122.0,
13,17.0,-1.0,
13,18.0,-1.0,
13,19.0,135.0,
13,20.0,99.0,
13,21.0,-1.0,
13,22.0,-1.0,
13,23.0,-1.0,
13,24.0,43.0,
13,25.0,144.0,
13,26.0,42.0,
13,27.0,114.0,
13,28.0,151.0,
13,29.0,141.0,
13,30.0,128.0,
13,31.0,-1.0,
13,32.0,-1.0,
13,33.0,117.0,
13,34.0,124.0,
13,35.0,159.0,
13,36.0,133.0,
13,37.0,-1.0,
13,38.0,-1.0,
13,39.0,163.0,
13,40.0,-1.0,
13,41.0,-1.0,
13,42.0,-1.0,
13,43.0,-1.0,
13,44.0,164.0,
13,45.0,-1.0,
13,46.0,-1.0,
13,47.0,-1.0,
13,48.0,-1.0,
13,49.0,-1.0,
13,50.0,-1.0,
13,51.0,-1.0,
13,52.0,-1.0,
13,53.0,-1.0,
13,54.0,-1.0,
13,55.0,-1.0,
13,56.0,-1.0,
13,57.0,-1.0,
13,58.0,-1.0,
13,59.0,-1.0,
13,60.0,-1.0,
13,61.0,-1.0,
13,64.0,-1.0,
13,65.0,-1.0,
13,66.0,-1.0,
13,68.0,198.0,
13,69.0,-1.0,
14,1.0,1.0,
14,2.0,2.0,
