hRange, Ratio, Pr(Ratio)<=
8.0,3.2857142857142856,0.7045454545454544
8.0,3.3333333333333335,0.7121212121212119
8.0,3.4,0.7272727272727271
8.0,3.5,0.7348484848484846
8.0,3.6,0.7878787878787876
8.0,4.0,0.8181818181818179
8.0,4.166666666666667,0.8257575757575755
8.0,4.333333333333333,0.833333333333333
8.0,4.4,0.8409090909090906
8.0,4.666666666666667,0.8560606060606057
8.0,4.8,0.8636363636363633
8.0,5.0,0.8712121212121209
8.0,6.285714285714286,0.886363636363636
8.0,6.4,0.8939393939393936
8.0,6.428571428571429,0.9015151515151512
8.0,6.857142857142857,0.9090909090909087
8.0,7.285714285714286,0.9166666666666663
8.0,7.428571428571429,0.9242424242424239
8.0,7.857142857142857,0.9318181818181814
8.0,8.0,0.939393939393939
8.0,8.571428571428571,0.9469696969696966
8.0,9.142857142857142,0.9545454545454541
8.0,10.142857142857142,0.9621212121212117
8.0,10.571428571428571,0.9696969696969693
8.0,12.428571428571429,0.9772727272727268
8.0,12.571428571428571,0.9848484848484844
8.0,12.714285714285714,0.992424242424242
8.0,18.142857142857142,1.0
9.0,1.25,0.043478260869565216
9.0,1.375,0.13043478260869565
9.0,1.5,0.17391304347826086
9.0,1.625,0.2391304347826087
9.0,1.75,0.391304347826087
9.0,1.875,0.4782608695652174
9.0,2.0,0.5434782608695652
9.0,2.125,0.5652173913043478
9.0,2.25,0.608695652173913
9.0,2.5,0.6956521739130435
9.0,2.625,0.717391304347826
9.0,2.75,0.7608695652173912
9.0,3.125,0.7826086956521738
9.0,3.5,0.9130434782608695
9.0,3.875,0.9347826086956521
9.0,5.375,0.9565217391304347
9.0,7.75,0.9782608695652173
9.0,12.375,1.0
10.0,1.3333333333333333,0.044444444444444446
10.0,1.5555555555555556,0.06666666666666667
10.0,1.6666666666666667,0.2222222222222222
10.0,1.7777777777777777,0.28888888888888886
10.0,1.8888888888888888,0.31111111111111106
10.0,2.0,0.33333333333333326
10.0,2.111111111111111,0.35555555555555546
10.0,2.2222222222222223,0.3999999999999999
10.0,2.3333333333333335,0.4222222222222221
10.0,2.5555555555555554,0.46666666666666656
10.0,2.6666666666666665,0.511111111111111
10.0,2.888888888888889,0.5333333333333332
10.0,3.0,0.5555555555555555
10.0,3.111111111111111,0.5777777777777777
10.0,4.0,0.6
10.0,4.666666666666667,0.6222222222222222
10.0,4.888888888888889,0.6444444444444445
10.0,5.0,0.6666666666666667
10.0,5.111111111111111,0.688888888888889
10.0,5.444444444444445,0.7111111111111112
10.0,5.777777777777778,0.7333333333333335
10.0,5.888888888888889,0.7777777777777779
10.0,6.111111111111111,0.8000000000000002
10.0,6.333333333333333,0.8222222222222224
10.0,6.444444444444445,0.8444444444444447
10.0,7.111111111111111,0.8666666666666669
10.0,8.0,0.8888888888888892
10.0,8.222222222222221,0.9111111111111114
10.0,9.666666666666666,0.9333333333333337
10.0,9.777777777777779,0.9555555555555559
10.0,10.0,0.9777777777777782
10.0,14.222222222222221,1.0
11.0,1.6,0.13043478260869565
11.0,1.7,0.19565217391304346
11.0,1.9,0.21739130434782605
11.0,2.0,0.26086956521739124
11.0,2.1,0.3260869565217391
11.0,2.2,0.3695652173913043
11.0,2.3,0.45652173913043476
11.0,2.4,0.47826086956521735
11.0,2.7,0.5217391304347826
11.0,2.8,0.5869565217391304
11.0,4.2,0.608695652173913
11.0,4.4,0.6304347826086956
11.0,4.7,0.6521739130434782
11.0,4.8,0.6739130434782608
11.0,5.2,0.6956521739130433
11.0,5.3,0.7173913043478259
11.0,5.8,0.7391304347826085
11.0,5.9,0.7608695652173911
11.0,6.1,0.8043478260869563
11.0,7.0,0.8260869565217389
11.0,7.3,0.8478260869565215
11.0,8.0,0.8695652173913041
11.0,8.4,0.8913043478260867
11.0,8.5,0.9130434782608693
11.0,8.6,0.9347826086956519
11.0,8.9,0.9565217391304345
11.0,10.0,0.9782608695652171
11.0,12.9,1.0
13.0,1.2727272727272727,0.022727272727272728
13.0,1.5454545454545454,0.09090909090909091
13.0,1.6363636363636365,0.11363636363636365
13.0,1.7272727272727273,0.25
13.0,1.8181818181818181,0.29545454545454547
13.0,1.9090909090909092,0.3181818181818182
13.0,2.0,0.36363636363636365
13.0,2.090909090909091,0.38636363636363635
13.0,2.1818181818181817,0.4318181818181818
