domain,instance,index,generated,expanded,reopened,cost,length,initial-H,is-W-opt
VacuumRobot,44,1,3574,2075,529,763.0,763,523.0,false
VacuumRobot,44,2,2612,1453,987,659.0,659,523.0,false
VacuumRobot,44,3,785,430,300,641.0,641,523.0,false
VacuumRobot,44,4,80,42,11,639.0,639,523.0,false
VacuumRobot,44,5,11049,6188,3066,631.0,631,523.0,false
VacuumRobot,44,6,76,40,26,629.0,629,523.0,false
VacuumRobot,45,1,1607,945,110,429.0,429,277.0,false
VacuumRobot,45,2,6871,3917,2915,387.0,387,277.0,false
VacuumRobot,45,3,134,73,59,381.0,381,277.0,false
VacuumRobot,45,4,3188,1908,241,373.0,373,277.0,false
VacuumRobot,45,5,3115,1854,245,371.0,371,277.0,false
VacuumRobot,45,6,1138,639,31,367.0,367,277.0,false
VacuumRobot,46,1,5370,3101,1188,821.0,821,475.0,false
VacuumRobot,46,2,5000,2852,2292,771.0,771,475.0,false
VacuumRobot,46,3,8554,4999,4239,755.0,755,475.0,false
VacuumRobot,46,4,8750,5002,4038,725.0,725,475.0,false
VacuumRobot,46,5,27670,15999,11965,701.0,701,475.0,false
VacuumRobot,46,6,31265,17903,15379,675.0,675,475.0,false
VacuumRobot,46,7,20417,11749,11323,665.0,665,475.0,false
VacuumRobot,46,8,211,115,82,657.0,657,475.0,false
VacuumRobot,46,9,54166,31497,13211,653.0,653,475.0,false
VacuumRobot,47,1,8149,4721,2118,717.0,717,386.0,false
VacuumRobot,47,2,7053,4046,2397,612.0,612,386.0,false
VacuumRobot,47,3,1038,616,396,546.0,546,386.0,false
VacuumRobot,47,4,918,513,441,540.0,540,386.0,false
VacuumRobot,47,5,6874,4010,1606,532.0,532,386.0,false
VacuumRobot,47,6,4471,2630,603,518.0,518,386.0,false
VacuumRobot,48,1,2425,1412,53,722.0,722,472.0,false
VacuumRobot,48,2,7225,4202,2989,650.0,650,472.0,false
VacuumRobot,48,3,3915,2374,1705,640.0,640,472.0,false
VacuumRobot,48,4,11736,6981,4683,634.0,634,472.0,false
VacuumRobot,49,1,1655,916,66,511.0,511,391.0,false
VacuumRobot,49,2,2375,1343,751,481.0,481,391.0,false
VacuumRobot,49,3,3384,1882,1288,457.0,457,391.0,false
VacuumRobot,49,4,4230,2378,1836,451.0,451,391.0,false
VacuumRobot,49,5,7434,4304,2887,449.0,449,391.0,false
VacuumRobot,50,1,2306,1354,86,694.0,694,408.0,false
VacuumRobot,50,2,456,269,202,678.0,678,408.0,false
VacuumRobot,50,3,1425,846,490,660.0,660,408.0,false
VacuumRobot,50,4,2742,1669,1299,634.0,634,408.0,false
VacuumRobot,50,5,593,334,131,630.0,630,408.0,false
VacuumRobot,50,6,5882,3430,1357,602.0,602,408.0,false
VacuumRobot,50,7,45017,26705,3750,594.0,594,408.0,false
VacuumRobot,50,8,17893,10485,2469,589.0,589,408.0,false
