InstanceID,Found,Depth,Cost,Iterations,Generated,Expanded,Cpu Time,Wall Time,delta,epsilon,pacCondition,Domain
76,1,808,808.0,2,846871,303650,327,330,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
77,1,731,731.0,4,395742,141809,156,160,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
78,1,442,442.0,5,140113,50208,78,80,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
79,1,627,627.0,4,499526,178856,249,240,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
80,1,604,604.0,3,421134,150664,218,220,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
81,1,515,515.0,6,293438,105773,109,110,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
82,1,636,636.0,3,329980,118277,156,150,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
83,1,833,833.0,3,482199,173611,156,168,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
84,1,579,579.0,4,161764,57695,62,60,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
85,1,933,933.0,2,243433,87717,93,90,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
86,1,656,656.0,4,366395,131261,124,140,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
87,1,531,531.0,5,136910,49134,62,60,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
88,1,713,713.0,5,580086,208027,249,240,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
89,1,652,652.0,3,301825,108344,124,130,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
90,1,551,551.0,2,265515,94493,109,110,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
91,1,495,495.0,6,71735,25629,31,20,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
92,1,462,462.0,3,25368,9159,15,10,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
93,1,721,721.0,2,87159,31164,31,30,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
94,1,768,768.0,2,409802,147780,140,150,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
95,1,594,594.0,2,62912,22414,15,20,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
96,1,457,457.0,3,59742,21230,15,20,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
97,1,386,386.0,3,49036,17657,15,20,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
98,1,707,707.0,3,428100,153246,156,164,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
99,1,487,487.0,3,41566,14892,31,20,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
100,1,487,487.0,4,193509,68851,62,60,0.1,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
51,1,1097,1097.0,1,23990,8841,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
52,1,1111,1111.0,1,1100659,394728,390,413,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
53,1,931,931.0,1,154476,54242,46,50,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
54,1,504,504.0,1,5643,2112,0,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
55,1,554,554.0,1,11889,4395,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
56,1,549,549.0,1,5020,1867,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
57,1,922,922.0,1,123331,44567,31,40,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
58,1,703,703.0,1,201822,73185,62,60,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
59,1,770,770.0,1,21215,7800,0,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
60,1,577,577.0,1,9413,3489,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
61,1,844,844.0,1,48344,17757,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
62,1,488,488.0,1,4646,1737,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
63,1,574,574.0,1,11701,4302,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
64,1,556,556.0,1,12123,4432,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
65,1,518,518.0,1,10396,3793,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
66,1,722,722.0,1,1490739,535972,499,520,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
67,1,715,715.0,1,9759,3641,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
68,1,557,557.0,1,12991,4710,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
69,1,667,667.0,1,7455,2853,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
70,1,480,480.0,1,6423,2401,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
71,1,809,809.0,1,28867,10651,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
72,1,662,662.0,1,33116,12064,0,30,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
73,1,810,810.0,1,11775,4346,0,0,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
74,1,641,641.0,1,43180,15951,15,10,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,GridPathFinding,
